,BD,BP,PR,SP,CH,ED,SENT,NAME
0,0,5,0,0,0,0,38,Alexander Ankvab
1,2,2,0,0,0,0,72,Raul Khajimba
2,2,4,0,0,0,0,44,Sergei Bagapsh
3,0,4,0,0,0,0,47,Vladislav Ardzinba
4,1,5,0,0,0,0,8,Abdul Rahim Hatif
5,0,20,0,4,2,0,102,Ashraf Ghani
6,2,2,0,0,0,0,287,Babrak Karmal
7,1,19,0,0,3,0,57,Burhanuddin Rabani
8,2,51,0,0,3,0,287,Hafizullah Amin
9,0,0,0,0,0,0,8,Haji Mohammad Chamkani
10,2,68,0,1,3,0,291,Hamid Karzai
11,1,37,0,0,0,0,260,Mohammad Najibullah
12,2,17,0,0,0,0,147,Nur Muhammad Taraki
13,1,18,0,0,0,0,39,Sibghatullah Mojaddedi
14,0,0,0,0,0,0,47,Alfred Moisiu
15,1,10,0,0,0,0,34,Bamir Topi
16,2,11,0,1,0,0,28,Bujar Nishani
17,1,26,0,2,0,0,91,Fatos Nano
18,2,21,0,3,5,0,51,Ilir Meta
19,2,8,0,0,0,0,21,Pandeli Majko
20,0,3,0,0,0,0,17,Rexhep Meidani
21,1,1,0,2,0,0,97,Sali Berisha
22,2,4,0,0,0,0,151,Abdelaziz Bouteflika
23,2,0,0,0,0,0,15,Abdelkader Bensalah
24,1,0,0,0,0,0,5,Abdelmalek Benhabyles
25,0,0,0,0,0,0,13,Ali Kafi
26,2,4,0,0,0,0,28,Chadli Bendjedid
27,2,0,0,1,0,0,61,Houari Boumediene
28,1,2,0,0,0,0,16,Liamine Zéroual
29,0,2,0,1,0,0,40,Mohamed Boudiaf
30,0,0,0,1,0,0,9,Rabah Bitat
31,1,25,0,8,18,0,86,José Eduardo dos Santos
32,1,5,0,1,0,0,33,João Lourenço
33,1,0,0,0,0,0,9,Lúcio Lara
34,1,0,0,2,0,0,98,Adolfo Rodríguez Saá
35,2,2,0,0,0,0,19,Alejandro Agustín Lanusse
36,0,0,0,0,0,0,4,Alfredo Oscar Saint Jean
37,1,0,0,3,0,0,243,Arturo Frondizi
38,1,6,0,3,0,0,91,Arturo Umberto Illia
39,1,0,0,0,0,0,8,Carlos Lacoste
40,1,12,0,1,2,0,263,Carlos Menem
41,2,33,0,23,1,0,375,Cristina Fernández de Kirchner
42,0,1,0,3,0,0,165,Eduardo Duhalde
43,2,1,0,0,0,0,11,Eduardo Lonardi
44,1,3,0,1,2,0,169,Fernando de la Rúa
45,1,4,0,0,0,0,33,Héctor José Cámpora
46,1,1,0,9,0,0,132,Isabel Martínez de Perón
47,1,3,0,1,21,0,148,Jorge Rafael Videla
48,1,0,0,0,0,0,9,José María Guido
49,0,0,0,2,0,0,27,Juan Carlos Onganía
50,2,0,0,39,0,0,520,Juan Perón
51,1,0,0,2,0,0,57,Leopoldo Galtieri
52,1,0,5,2,0,2,320,Mauricio Macri
53,2,0,0,19,0,0,336,Néstor Kirchner
54,1,0,0,0,0,0,43,Pedro Eugenio Aramburu
55,1,3,0,0,0,0,13,Raúl Alberto Lastiri
56,2,26,0,4,8,0,304,Raúl Alfonsín
57,1,0,0,1,1,0,52,Reynaldo Bignone
58,2,1,0,0,0,0,16,Roberto Eduardo Viola
59,0,0,0,1,3,0,8,Roberto M. Levingston
60,1,3,0,1,0,0,52,Armen Sarkissian
61,1,2,0,1,1,0,111,Levon Ter-Petrossian
62,1,3,0,1,5,0,70,Robert Kocharyan
63,2,4,0,2,0,0,123,Serzh Sargsyan
64,1,2,0,0,0,0,38,Adolf Schärf
65,1,11,4,1,0,0,155,Alexander Van der Bellen
66,0,0,0,0,0,0,85,Emperor of Austria
67,0,0,0,0,0,0,10,Franz Jonas
68,0,1,0,1,0,0,27,Heinz Fischer
69,1,1,0,0,0,0,54,Karl Renner
70,1,8,0,0,0,0,32,Karl Seitz
71,2,1,0,1,1,0,143,Kurt Waldheim
72,0,0,0,0,0,0,37,Leopold Figl
73,1,1,0,0,0,0,22,Michael Hainisch
74,1,2,0,1,0,0,29,Rudolf Kirchschläger
75,1,0,0,0,0,0,20,Theodor Körner (Austrian president)
76,1,7,0,1,0,0,23,Thomas Klestil
77,0,1,0,0,0,0,35,Wilhelm Miklas
78,0,0,0,0,0,0,35,Abulfaz Elchibey
79,1,4,0,1,0,0,17,Ayaz Mutallibov
80,0,15,0,2,4,0,119,Heydar Aliyev
81,2,28,0,3,9,0,337,Ilham Aliyev
82,1,2,0,1,0,0,17,Isa Gambar
83,1,1,0,0,2,0,37,A. Q. M. Badruddoza Chowdhury
84,1,1,0,0,0,0,28,Abdul Hamid (politician)
85,2,1,0,0,0,0,24,Fakhruddin Ahmed
86,1,0,0,0,0,0,7,Fazlul Haque (judge)
87,1,3,0,6,0,0,212,Hussain Muhammad Ershad
88,2,4,0,1,0,0,73,Iajuddin Ahmed
89,0,2,0,0,8,0,163,Khaleda Zia
90,2,0,0,0,0,0,12,Latifur Rahman
91,0,1,0,0,0,0,27,Muhammad Jamiruddin Sircar
92,1,0,0,2,0,0,10,Rowshan Ershad
93,2,1,0,0,0,0,37,Shahabuddin Ahmed
94,2,2,4,4,4,0,214,Sheikh Hasina
95,2,2,0,3,0,0,70,Zillur Rahman
96,1,4,0,3,9,0,227,Alexander Lukashenko
97,1,0,0,0,0,0,11,Christophe Soglo
98,1,49,0,0,0,0,335,Hubert Maga
99,2,22,0,0,0,0,154,Justin Ahomadégbé-Tomêtin
100,1,2,0,0,0,0,83,Mathieu Kérékou
101,1,2,0,1,0,0,35,Patrice Talon
102,2,29,0,0,0,0,174,Sourou-Migan Apithy
103,0,2,0,1,0,0,41,Thomas Boni Yayi
104,1,5,0,0,0,0,15,Alberto Natusch
105,1,10,0,0,0,0,37,Carlos Mesa
106,0,2,0,0,0,0,17,Celso Torrelio
107,2,1,0,0,0,0,17,David Padilla
108,1,2,0,0,0,0,17,Eduardo Rodríguez
109,0,0,1,0,0,0,405,Evo Morales
110,1,31,0,0,0,0,138,Gonzalo Sánchez de Lozada
111,0,8,0,0,0,0,17,Guido Vildoso
112,1,5,0,0,0,0,65,Hernán Siles Zuazo
113,1,5,0,0,0,0,86,Hugo Banzer
114,1,5,0,0,0,0,71,Jaime Paz Zamora
115,2,2,0,0,0,0,23,Juan Pereda
116,1,9,0,0,0,0,32,Lidia Gueiler
117,1,6,0,0,0,0,43,Luis García Meza
118,0,4,0,0,0,0,64,Víctor Paz Estenssoro
119,2,7,0,0,0,0,36,Wálter Guevara
120,1,0,0,1,0,0,23,Festus Mogae
121,0,1,4,0,0,0,66,Ian Khama
122,1,3,0,1,0,0,23,Mokgweetsi Masisi
123,2,5,0,1,0,0,52,Quett Masire
124,1,14,0,4,6,0,107,Seretse Khama
125,2,1,0,1,0,0,66,Arthur da Costa e Silva
126,0,2,0,0,0,0,32,Brazilian Military Junta
127,2,3,0,0,0,0,22,Café Filho
128,1,0,0,0,0,0,6,Carlos Luz
129,2,41,0,21,20,0,500,Dilma Rousseff
130,1,1,0,0,0,0,47,Emílio Garrastazu Médici
131,1,15,0,1,4,0,68,Ernesto Geisel
132,1,13,0,0,0,0,141,Fernando Collor de Mello
133,1,11,0,2,0,0,99,Fernando Henrique Cardoso
134,2,3,0,3,0,0,267,Getúlio Vargas
135,1,2,0,2,0,0,59,Humberto de Alencar Castelo Branco
136,1,0,0,0,0,0,65,Itamar Franco
137,2,7,0,4,12,1,341,Jair Bolsonaro
138,1,10,0,2,32,0,141,José Sarney
139,1,6,0,0,0,0,38,João Figueiredo
140,1,0,0,0,0,0,101,Juscelino Kubitschek
141,2,2,0,1,0,0,83,Jânio Quadros
142,1,2,0,3,1,0,301,Luiz Inácio Lula da Silva
143,1,7,0,15,0,0,152,Michel Temer
144,1,5,0,0,0,0,22,Nereu Ramos
145,1,2,0,0,0,0,16,Pascoal Ranieri Mazzilli
146,2,8,0,1,3,0,77,Georgi Parvanov
147,2,16,0,1,0,0,65,Petar Stoyanov
148,1,7,0,1,0,0,32,Rosen Plevneliev
149,1,5,0,2,0,0,31,Rumen Radev
150,0,0,0,1,2,0,34,Zhelyu Zhelev
151,0,0,0,1,0,0,20,Gilbert Diendéré
152,2,2,0,1,0,0,32,Michel Kafando
153,1,3,0,1,1,0,34,Roch Marc Christian Kaboré
154,0,0,0,0,0,0,19,Domitien Ndayizeye
155,1,1,0,0,0,0,23,Pierre Buyoya
156,1,24,0,0,0,0,92,Pierre Nkurunziza
157,1,0,0,0,0,0,8,Sylvestre Ntibantunganya
158,1,2,0,0,0,0,131,Ahmadou Ahidjo
159,1,1,0,6,0,0,119,Paul Biya
160,1,1,0,1,0,0,22,António Mascarenhas Monteiro
161,1,3,0,1,0,0,19,Aristides Pereira
162,1,9,0,1,0,0,17,Jorge Carlos Fonseca
163,0,2,0,1,0,0,33,Pedro Pires
164,1,0,0,0,0,0,36,Abel Goumba
165,1,2,0,0,0,0,13,Alexandre-Ferdinand Nguendet
166,0,0,0,0,0,0,27,Catherine Samba-Panza
167,1,3,0,0,0,0,12,Célestin Gaombalet
168,0,7,0,2,0,0,41,Faustin-Archange Touadéra
169,0,0,0,0,0,0,36,Goukouni Oueddei
170,1,1,0,0,0,0,133,Hissène Habré
171,1,0,0,2,4,0,112,Idriss Deby
172,1,0,0,0,0,0,33,Lol Mahamat Choua
173,1,57,0,2,0,3,282,Michelle Bachelet
174,0,0,0,3,0,0,190,Sebastián Piñera
175,0,5,0,0,0,0,37,Andrés Pastrana Arango
176,1,2,0,0,0,0,45,César Gaviria
177,1,6,0,2,10,0,67,Ernesto Samper
178,1,11,0,2,0,0,35,Iván Duque
179,2,3,0,0,4,0,120,Juan Manuel Santos Calderón
180,1,61,0,2,0,0,340,Álvaro Uribe
181,0,6,0,0,0,0,22,Ahmed Abdallah Mohamed Sambi
182,0,3,0,0,0,0,15,Azali Assoumani
183,1,5,0,1,0,0,12,Ikililou Dhoinine
184,0,3,0,1,0,0,19,Abel Pacheco
185,1,0,0,1,0,0,33,Carlos Alvarado Quesada
186,1,2,0,0,0,0,45,César Gaviria
187,0,16,0,6,0,0,73,Laura Chinchilla
188,1,18,0,0,0,0,105,Luis Guillermo Solís
189,1,0,0,0,0,3,86,Miguel Ángel Rodríguez
190,1,0,0,0,0,0,63,Óscar Arias
191,1,10,0,1,0,0,95,Ivo Josipović
192,2,3,0,3,0,5,130,Kolinda Grabar-Kitarović
193,1,6,0,1,0,0,124,Stjepan Mesić
194,1,0,0,0,0,0,17,Zlatko Tomčić
195,0,4,0,2,0,0,33,Miguel Díaz-Canel
196,1,0,0,0,0,0,64,Demetris Christofias
197,1,1,0,1,0,0,28,George Vasiliou
198,1,2,0,1,0,0,47,Glafcos Clerides
199,1,1,0,0,0,0,131,Makarios III
200,1,0,0,1,0,0,42,Nicos Anastasiades
201,1,1,0,0,2,0,47,Spyros Kyprianou
202,0,0,0,0,0,0,57,Tassos Papadopoulos
203,1,2,0,3,2,0,216,Miloš Zeman
204,0,14,0,7,0,0,190,Václav Havel
205,1,8,0,1,12,0,194,Václav Klaus
206,2,1,2,0,0,0,45,Félix Tshisekedi
207,2,1,0,1,0,0,94,Joseph Kabila
208,6,1,0,0,1,0,72,Joseph Kasa-Vubu
209,1,1,0,0,3,0,57,Laurent-Désiré Kabila
210,1,3,0,2,0,0,342,Mobutu Sese Seko
211,0,1,0,1,0,0,40,Hassan Gouled Aptidon
212,0,2,0,0,0,0,34,Ismaïl Omar Guelleh
213,0,0,0,0,0,0,43,Charles Savarin
214,1,0,0,0,0,0,13,Eliud Williams
215,1,0,0,0,0,0,15,Nicholas Liverpool
216,0,8,0,1,0,0,56,Danilo Medina
217,2,4,0,1,3,0,55,Hipólito Mejía
218,0,5,0,1,0,0,64,Leonel Fernandez
219,0,5,0,1,0,0,64,Leonel Fernández
220,1,3,0,0,0,0,40,Estanislau da Silva
221,1,1,0,1,0,0,41,Fernando de Araújo (East Timorese politician)
222,0,1,0,0,0,0,18,Francisco Guterres
223,1,7,0,3,0,0,105,José Ramos-Horta
224,0,1,0,0,0,0,39,Mari Alkatiri
225,2,1,0,0,0,0,10,Rui Maria de Araújo
226,0,0,0,1,0,0,40,Taur Matan Ruak
227,0,0,0,0,0,0,6,Vicente Guterres
228,1,7,0,5,0,0,84,Xanana Gusmão
229,1,11,0,0,0,0,62,Abdalá Bucaram
230,1,5,0,0,0,0,14,Alfredo Palacio
231,2,5,0,0,0,0,12,Alfredo Poveda
232,0,6,0,0,0,0,10,Carlos Julio Arosemena Monroy
233,1,2,1,1,0,0,10,Clemente Yerovi
234,1,3,0,0,0,0,9,Fabián Alarcón
235,1,1,0,0,0,0,5,Guillermo Rodríguez (politician)
236,1,7,0,0,0,0,19,Gustavo Noboa
237,2,9,0,3,0,0,80,Jaime Roldós Aguilera
238,1,8,0,0,0,0,26,Jamil Mahuad
239,2,10,0,1,0,0,58,José María Velasco Ibarra
240,1,26,0,0,0,0,79,Lenín Moreno
241,2,6,0,4,0,0,29,León Febres Cordero
242,3,24,0,0,0,0,75,Lucio Gutiérrez
243,1,9,0,0,0,0,15,Osvaldo Hurtado
244,1,8,0,0,0,0,33,Otto Arosemena Gómez
245,1,105,0,2,0,0,460,Rafael Correa
246,1,1,0,0,0,0,3,Ramón Castro Jijón
247,1,6,0,1,0,0,16,Rodrigo Borja Cevallos
248,1,3,0,0,0,0,11,Rosalía Arteaga
249,2,2,0,2,0,0,61,Sixto Durán Ballén
250,0,2,0,0,0,0,7,Telmo Vargas
251,2,106,0,2,0,0,292,Abdel Fattah el-Sisi
252,1,8,0,0,0,0,26,Adly Mansour
253,1,0,0,0,0,0,9,Farouk Sultan
254,0,0,0,0,0,0,6,Maher El-Beheiry
255,1,2,0,1,0,0,59,Alfredo Cristiani
256,1,5,0,1,0,0,49,Antonio Saca
257,1,2,0,0,0,0,17,Armando Calderón Sol
258,2,10,0,1,1,0,59,Francisco Flores Pérez
259,1,0,0,0,0,0,87,José Napoleón Duarte
260,1,15,0,1,0,0,47,Mauricio Funes
261,1,4,0,0,0,0,43,Salvador Sánchez Cerén
262,1,5,0,0,0,0,9,Álvaro Magaña
263,0,0,0,0,1,0,67,Francisco Macías Nguema
264,0,0,0,0,2,0,113,Teodoro Obiang Nguema Mbasogo
265,2,15,0,2,0,0,58,Isaias Afwerki
266,0,0,0,1,0,0,37,Arnold Rüütel
267,1,3,0,1,0,0,41,Kersti Kaljulaid
268,0,4,0,0,11,0,411,Konstantin Päts
269,1,4,0,4,0,0,96,Lennart Meri
270,1,1,0,4,0,0,68,Toomas Hendrik Ilves
271,0,5,0,0,0,0,28,Girma Wolde-Giorgis
272,0,0,0,2,0,0,132,Meles Zenawi
273,0,0,0,0,0,0,12,Mulatu Teshome
274,0,2,0,3,0,0,20,Negasso Gidada
275,1,9,0,0,0,1,20,Sahle-Work Zewde
276,2,2,0,0,0,0,24,Tamirat Layne
277,1,1,0,0,0,0,29,Teferra Wolde-Semait
278,1,2,0,0,0,0,22,Tesfaye Dinka
279,0,1,0,0,0,0,4,Bailey Olter
280,1,1,0,0,0,0,3,Jacob Nena
281,2,7,0,1,0,0,35,John Haglelgam
282,1,4,0,1,0,0,21,Joseph Urusemal
283,1,2,0,0,0,0,5,Leo Falcam
284,0,1,0,1,0,0,25,Manny Mori
285,0,0,0,0,0,0,11,Peter M. Christian
286,0,13,0,1,0,0,40,Tosiwo Nakayama
287,0,1,0,2,0,0,233,Carl Gustaf Emil Mannerheim
288,1,0,0,0,0,0,105,Juho Kusti Paasikivi
289,1,1,0,1,0,0,83,Kaarlo Juho Ståhlberg
290,1,2,0,1,0,0,51,Kyösti Kallio
291,1,1,0,1,0,0,51,Lauri Kristian Relander
292,1,20,0,1,3,0,129,Martti Ahtisaari
293,1,7,0,2,0,0,96,Mauno Koivisto
294,1,1,0,1,6,0,84,Pehr Evind Svinhufvud
295,1,1,0,0,0,0,181,Risto Ryti
296,1,2,0,3,0,0,95,Sauli Niinistö
297,2,5,0,2,0,0,124,Tarja Halonen
298,1,1,0,1,5,0,161,Urho Kekkonen
299,0,1,0,0,0,0,16,Albert Sarraut
300,0,205,0,2,12,0,1164,Charles de Gaulle
301,1,56,1,3,0,0,488,Emmanuel Macron
302,2,18,0,0,0,0,155,François Hollande
303,1,49,0,1,4,0,500,François Mitterrand
304,1,10,0,1,2,0,65,Georges Pompidou
305,1,24,0,3,6,0,332,Jacques Chirac
306,0,18,0,0,0,0,110,Léon Blum
307,1,18,0,9,5,0,346,Nicolas Sarkozy
308,1,4,0,0,1,0,33,René Coty
309,2,1,0,1,7,0,209,Valéry Giscard d'Estaing
310,1,12,0,0,0,0,46,Vincent Auriol
311,0,18,0,0,2,0,96,Édouard Daladier
312,0,0,0,2,4,0,79,Ali Bongo Ondimba
313,0,1,0,0,0,0,34,Didjob Divungi Di Ndinge
314,0,0,0,1,0,0,228,Léon M'ba
315,0,40,0,8,5,0,228,Omar Bongo
316,1,5,0,0,0,0,30,Rose Francine Rogombé
317,0,7,0,3,0,0,85,Giorgi Margvelashvili
318,2,17,0,3,0,0,330,Mikheil Saakashvili
319,1,1,0,1,0,0,44,Nino Burjanadze
320,1,8,0,1,0,1,74,Salome Zurabishvili
321,0,15,0,2,1,0,87,Christian Wulff
322,1,2,0,1,0,0,205,Frank-Walter Steinmeier
323,1,13,0,2,0,0,79,Gustav Heinemann
324,0,0,0,0,0,0,44,Heinrich Lübke
325,1,0,1,1,2,0,136,Horst Köhler
326,1,35,0,0,0,0,145,Joachim Gauck
327,1,14,0,5,3,0,46,Johannes Rau
328,2,0,0,1,0,0,29,Karl Arnold
329,1,2,0,1,0,0,31,Karl Carstens
330,2,3,0,3,0,0,236,Richard von Weizsäcker
331,0,0,0,2,0,0,55,Roman Herzog
